anio,edo,tipo,sexo,tasa
2003,Tlaxcala,trans,Mujeres,66.7
2003,Veracruz,trans,Mujeres,63.7
2003,Yucatán,trans,Mujeres,58.7
2003,Zacatecas,trans,Mujeres,65.2
2004,Aguascalientes,trans,Mujeres,51
2004,Baja California,trans,Mujeres,64.6
2004,Baja California Sur,trans,Mujeres,64.9
2004,Campeche,trans,Mujeres,54.4
2004,Coahuila,trans,Mujeres,48.2
2004,Colima,trans,Mujeres,53.5
2004,Chiapas,trans,Mujeres,100.6
2004,Chihuahua,trans,Mujeres,59.8
2004,Distrito Federal,trans,Mujeres,55.7
2004,Durango,trans,Mujeres,40.9
2004,Guanajuato,trans,Mujeres,57.2
2004,Guerrero,trans,Mujeres,56.4
2004,Hidalgo,trans,Mujeres,55.2
2004,Jalisco,trans,Mujeres,61
2004,México,trans,Mujeres,66.8
2004,Michoacán,trans,Mujeres,50.9
2004,Morelos,trans,Mujeres,54.6
2004,Nayarit,trans,Mujeres,54.2
2004,Nuevo León,trans,Mujeres,41.3
2004,Oaxaca,trans,Mujeres,88.5
2004,Puebla,trans,Mujeres,78.7
2004,Querétaro,trans,Mujeres,59.3
2004,Quintana Roo,trans,Mujeres,58.8
2004,San Luis Potosí,trans,Mujeres,56.7
2004,Sinaloa,trans,Mujeres,40.5
2004,Sonora,trans,Mujeres,68.2
2004,Tabasco,trans,Mujeres,53.9
2004,Tamaulipas,trans,Mujeres,45.4
2004,Tlaxcala,trans,Mujeres,66
2004,Veracruz,trans,Mujeres,63.4
2004,Yucatán,trans,Mujeres,63.2
2004,Zacatecas,trans,Mujeres,50.2
2005,Aguascalientes,trans,Mujeres,56.5
2005,Baja California,trans,Mujeres,63.2
2005,Baja California Sur,trans,Mujeres,72.5
2005,Campeche,trans,Mujeres,57.7
2005,Coahuila,trans,Mujeres,50.4
2005,Colima,trans,Mujeres,50
2005,Chiapas,trans,Mujeres,99
2005,Chihuahua,trans,Mujeres,64.5
2005,Distrito Federal,trans,Mujeres,56.1
2005,Durango,trans,Mujeres,50.6
2005,Guanajuato,trans,Mujeres,64.2
2005,Guerrero,trans,Mujeres,53.3
2005,Hidalgo,trans,Mujeres,57
2005,Jalisco,trans,Mujeres,64.5
2005,México,trans,Mujeres,68.9
2005,Michoacán,trans,Mujeres,51.9
2005,Morelos,trans,Mujeres,56.4
2005,Nayarit,trans,Mujeres,52
2005,Nuevo León,trans,Mujeres,43.8
2005,Oaxaca,trans,Mujeres,82.8
2005,Puebla,trans,Mujeres,82.2
2005,Querétaro,trans,Mujeres,59.8
2005,Quintana Roo,trans,Mujeres,57.4
2005,San Luis Potosí,trans,Mujeres,57.8
2005,Sinaloa,trans,Mujeres,47
2005,Sonora,trans,Mujeres,69.1
2005,Tabasco,trans,Mujeres,60
2005,Tamaulipas,trans,Mujeres,44.8
2005,Tlaxcala,trans,Mujeres,72.7
2005,Veracruz,trans,Mujeres,63
2005,Yucatán,trans,Mujeres,55.8
2005,Zacatecas,trans,Mujeres,51.6
2006,Aguascalientes,trans,Mujeres,49.3
2006,Baja California,trans,Mujeres,60.9
2006,Baja California Sur,trans,Mujeres,63.1
2006,Campeche,trans,Mujeres,47.7
2006,Coahuila,trans,Mujeres,52.8
2006,Colima,trans,Mujeres,50.3
2006,Chiapas,trans,Mujeres,88.8
2006,Chihuahua,trans,Mujeres,69.2
2006,Distrito Federal,trans,Mujeres,57.9
2006,Durango,trans,Mujeres,43.6
2006,Guanajuato,trans,Mujeres,60.8
2006,Guerrero,trans,Mujeres,53.5
2006,Hidalgo,trans,Mujeres,57.3
2006,Jalisco,trans,Mujeres,57.3
2006,México,trans,Mujeres,64.1
2006,Michoacán,trans,Mujeres,48.2
2006,Morelos,trans,Mujeres,57.6
2006,Nayarit,trans,Mujeres,51.7
2006,Nuevo León,trans,Mujeres,48.2
